id,created_time,location,no_comments,no_likes,filter,link,caption,thumbnail,tags,user_name,user_id
1491366242437788918_200178188,2017-04-12 15:45:31,,3,89,Normal,https://www.instagram.com/p/BSyZbImg3T2/,No solo los jóvenes luchan por la democracia. . . . . . . . . . . . . . #ig_venezuela #instavenezuela #photography #ig_venezuelan_pro #spicollective #everydayclimatechange #everydaylatinamerica #rmtf #photodocumentary #documentaryphoto #everybodystreet #streetcolor #lensculturestreets #colorphotography #instaven #streetphotovenezuela #myspc17 #outofthephone #friendsinperson #ig_venezuela #life_is_street #streetsgrammer #instalovenezuela #cultureir #ig_latinoamerica_ #ig_color #urbanocity #elnacionalweb #people_infinity,,"friendsinperson, cultureir, instaven, instalovenezuela, streetphotovenezuela, people_infinity, ig_color, streetcolor, everydaylatinamerica, streetsgrammer, elnacionalweb, ig_latinoamerica_, photography, myspc17, everydayclimatechange, life_is_street, lensculturestreets, spicollective, rmtf, ig_venezuelan_pro, urbanocity, documentaryphoto, outofthephone, everybodystreet, ig_venezuela, colorphotography, instavenezuela, photodocumentary",davidgil.s,200178188
1491365349856164905_4391061800,2017-04-12 15:43:45,,2,45,Normal,https://www.instagram.com/p/BSyZOJUgLwp/,"Jharia in Jharkhand, India is well known for its old and vast coal reserves in the country which have been explicitly exploited for over a century now. The coal field fires that have been widely spreading underground have had an unignorable impact on environment and inhabitants' way of life here. Above all, the burning lands have taken toll on the future of children of the families that work here, replacing their playful childhood by solid labourhood, and making them look way older than their age. The kids here are used to making countless treks up and down the hills scavenging coal and getting smudged with black coal and dust all over for ensuring survival at the end of the day. This sight of a mother readying her son for school in a place like Jharia where basic primary education is not given much importance gives a sigh of relief. This year I will be sharing stories that I have covered in Jharia for the past 8 years. #Everydayindia #everydayclimatechange #everydayeverywhere #people #life #climatechange #pollution #fire #nature #India #Asia #reportagespotlight #landscape #NatgeoEarthDay #tybitto #dailylifeindia",,"life, nature, natgeoearthday, everydayindia, everydayclimatechange, pollution, tybitto, fire, india, climatechange, people, landscape, reportagespotlight, everydayeverywhere, asia, dailylifeindia",thevisualactivist,4391061800
1491293946251734228_208518103,2017-04-12 13:21:53,,1,92,Rise,https://www.instagram.com/p/BSyI_FiBmzU/,Out of the ash/I rise with my red hair . . . #flowers #flowerstagram #summer #skyphotography #sky☁ #naturephotography #ic_nature #ic_trees #rsa_flowers #jj_florals #ig_color #rsa_light #jj_light #agameoftones #artofvisuals #moodygrams #infamous_family #igersofindia #india_ig #indiaphotoproject #indiaclicks #everydayeverywhere #everydayclimatechange #ngtdailyshot #lonelyplanetindia #nikonphotography #bloomseason #colourpop,,"indiaclicks, agameoftones, ic_nature, ngtdailyshot, ig_color, jj_florals, flowerstagram, everydayclimatechange, colourpop, moodygrams, skyphotography, flowers, artofvisuals, summer, ic_trees, jj_light, nikonphotography, igersofindia, lonelyplanetindia, rsa_light, india_ig, naturephotography, everydayeverywhere, bloomseason, indiaphotoproject, infamous_family, rsa_flowers, sky",storywaali,208518103
1491291347176323501_1599328379,2017-04-12 13:16:43,,0,41,Normal,https://www.instagram.com/p/BSyIZQ9Dvmt/,"[#ISAWEverydayClimateChange] 'EverydayClimateChange' is an Instagram feed where photographers from all over the world have posted images regarding climate change. As these photographers are diverse and have different cultures, the assortment of images gathered reflects these varying perspectives. ⠀ ⠀ Catch the exhibition at @objectifscentre, Objectifs Courtyard, from now till 30 April. ⠀ ⠀ Image by Philipp Engelhorn (left) and Arati Kumar-Rao (right). ⠀ ⠀ #objectifs #everydayclimatechange #outdoorexhibition",,"isaweverydayclimatechange, outdoorexhibition, objectifs, everydayclimatechange",sgartweek,1599328379
1491259423179388978_435878249,2017-04-12 12:13:18,"8, -1",2,61,Lo-fi,https://www.instagram.com/p/BSyBItaj7gy/,"Bush burning, is an increasing problem in northern Ghana, no ones taking responsibility, #bushburning #everydayclimatechange #farming #hunting #landscape #northernghana #enviroment #ghana",,"everydayclimatechange, bushburning, enviroment, northernghana, farming, hunting, ghana, landscape",ruthmcdowall,435878249
1491180803047083670_4268567957,2017-04-12 09:37:05,"-20.3472, 28.9457",0,29,Normal,https://www.instagram.com/p/BSxvQotgM6W/,"Mr Ngwenya, a small scale farmer from #Umzingwane district, this year he is expecting a bumper harvest. Rural farmers have been receiving #seed, training and support from AustraliaAid and World Vision International. Photo | @zinyange.auntony #Zinyange #PositiveTalk #EverydayZimbabwe #EverydayAfrica #EverydayPeople #EverydayClimateChange",,"everydayclimatechange, everydaypeople, zinyange, seed, everydayzimbabwe, everydayafrica, umzingwane, positivetalk",everydayzimbabwe,4268567957
1491017339142777795_1561110271,2017-04-12 04:12:19,,6,711,Normal,https://www.instagram.com/p/BSxKF7FjavD/,"Photo by Ashley Crowther @ashleycrowtherorg for @everydayclimatechange: Tashi, a friend of mine in the Zanskar Himalaya rests after a whole summer's day of lugging heavy loads of fodder on to his flat-roofed home. This fodder, the scraps of the green pea harvest, is used to feed the community’s all-important livestock over the winter. However, Tashi’s community now faces an ongoing drought as the village's main source of water, the glacier that ran down the mountain behind the village has all but completely retreated due to warming temperatures. The village now relies on a small spring to water their crops, which isn’t enough and is leading to severely reduced harvests. Furthermore, the summer of 2016 also saw them and the rest of the Zanskar valley suffer a locust plague further exacerbating the impact of water shortages. Climate change in the Himalayas is, by a large margin, accelerating at a greater rate than the rest of the world (excluding the Arctic). The associated impacts such as fast retreating glaciers, larger and more glacial lakes forming, and lack of winter snowfall are all having impacts now and even more so in the short and long term future. -- #everydayclimatechange #climatechange #india #himalayas #zanskar #globalwarming #climatechangeisreal",,"everydayclimatechange, himalayas, globalwarming, zanskar, climatechange, india, climatechangeisreal",everydayclimatechange,1561110271
1490950323508874416_1470114201,2017-04-12 01:59:10,,7,451,Normal,https://www.instagram.com/p/BSw62t6gAyw/,Help us #KeepBorneoWild by sharing or donating to raise funds to protect the forest from being cut down by palm oil 🌏🌲✌🏼️[donate & info link in bio],,keepborneowild,fnpf.id,1470114201
1490920932486669086_3866880759,2017-04-12 01:00:46,,7,150,Normal,https://www.instagram.com/p/BSw0LBZD-Me/,Post ❤️ if this rivers beach would be preferred to a white sandy beach. These are the travels! 🌍👊,,,ecosphere.plus,3866880759
1039138492026977507_1589923326,2015-07-28 16:49:43,"20.620779847317, -87.074744020509",0,4,Mayfair,https://www.instagram.com/p/5rwvPxs_zj/,"Toneladas de Alga parda, la maleza de la Riviera Maya, sigue llegando en oleadas oscuras que manchan el azul del mar caribe. #Sargazo #everydayclimatechange",,"sargazo, everydayclimatechange",andrea.calixto,1589923326
1490860871873579147_3866880759,2017-04-11 23:01:27,,5,120,Normal,https://www.instagram.com/p/BSwmhBljciL/,Post ❤️ on Ecosphere if you're on board with sustainable energy. 💡💡,,,ecosphere.plus,3866880759
1490847341853478896_2903322777,2017-04-11 22:34:34,,2,72,Normal,https://www.instagram.com/p/BSwjcIxgw_w/,"East #afrika is suffering a #drought. This is a result of #climatechange. If you are interested to become a part of an art project against climate change, join me on www.tropic-ice.com part of the art. #everydayclimatechange #leonardodicaprio #unfccc #janegoodall #janegoodallinstitute #amazonwatch #350org #greenpeace #wwf #tansania #maasai",,"everydayclimatechange, leonardodicaprio, drought, climatechange, amazonwatch, greenpeace, maasai, unfccc, tansania, wwf, 350org, janegoodallinstitute, janegoodall, afrika",barbaradombrowski,2903322777
1490773616601913608_1682880966,2017-04-11 20:08:05,,1,59,Normal,https://www.instagram.com/p/BSwSrSyFNkI/,Photo by @duniaimaji (Fahreza Ahmad). Constructing the Monument. The busiest intersection on the city. #Aceh Province of #Indonesia. April 2017. #streetphoto #dailylife #documentary #creativeimagemagazine #everydayeverywhere #everydayclimatechange #reportagespotlight #1000kata #pewartafotoindonesia,,"documentary, everydayclimatechange, aceh, streetphoto, 1000kata, dailylife, pewartafotoindonesia, creativeimagemagazine, indonesia, reportagespotlight, everydayeverywhere",duniaimaji,1682880966
1490743299450140108_962642312,2017-04-11 19:07:51,,5,840,Normal,https://www.instagram.com/p/BSwLyHvBPXM/,Watches sale in #kurdistan #boukan #hikaricreative #SocialLensmag,,"hikaricreative, kurdistan, boukan, sociallensmag",mkhezriyani,962642312
1490710385111413195_3866880759,2017-04-11 18:02:27,,2,170,Normal,https://www.instagram.com/p/BSwETJ3jTHL/,Post ❤️ on Ecosphere if this looks like the perfect spot for a picnic. 🍽😍,,"ecofriendly, globalwarming, pollution, environment, cleanenergy, preservation, solarpower, arctic, environmentallyfriendly, renewableenergy, savetheworld, plantpower, savetheplanet, global, mothernaturerocks, endangered, motherearth, everydayclimatechange, environmental, climatechange, saveourplanet, sustainableliving, conservation, environmentalist, eco, warming, ecotourism, climate, renewable",ecosphere.plus,3866880759
1490639614375918610_4391061800,2017-04-11 15:41:51,,0,46,Normal,https://www.instagram.com/p/BSv0NTfAHwS/,"Every morning at 4 a.m. 5-year-old eyes open up to shrug off all thoughts about procrastinating at work which involves seemingly endless treks up and down the burning Jharia, known for its vast and valuable coal resources which are used to prepare coke in the country is nestled in the Damodar valley region in Eastern India. The ever-increasing underground fires and mining practices in a region full of resources have driven the place to the brink of subsidence, pointing towards an impending ecological and human disaster and dismissing hopes for a better future. From the oldest to the youngest, the place has swallowed up all possibilities of living a healthy life for everyone here giving rise to unsafe and dangerous conditions. But the imprints of tiny footsteps on the burning lands have continued to signal the undying spirit of bringing livelihood leaving behind all other aspirations. Dressed in her school dress Aabha (changed name) awaits help to lift a bag full of scavenged coal that weighs around 80 kg on her head while helping her parents on the coal fields of Jharia after returning from school. The children in the mines here are the real diamonds. This year I will be sharing stories that I have covered in Jharia for the past 8 years. #Everydayindia #everydayclimatechange #everydayeverywhere #people #life #climatechange #pollution #fire #nature #India #Asia #reportagespotlight #landscape #NatgeoEarthDay #tybitto #dailylifeindia",,"life, everydayindia, dailylifeindia, pollution, tybitto, landscape, reportagespotlight, everydayeverywhere, natgeoearthday, everydayclimatechange, nature, climatechange, asia, fire, people, india",thevisualactivist,4391061800
1490635786285310206_290632022,2017-04-11 15:34:14,,9,403,Normal,https://www.instagram.com/p/BSvzVmTBWD-/,"It started in 1988 when the World Bank issued sanctions on India to deregulate its Seed Policy and establish joint ventures which paved way for the multinational agrochemical and agricultural biotechnology corporation- Monsanto, headquartered in St Louis, Missouri control more than 95% of the cotton production in India today. In the shadow of its world-famous technologies, Monsanto started its dirty work in the country by undemocratically imposing the idea of “manufacturing” a seed after misusing Indian laws and giving hopes of fighting global warming, saving environment from conventional farming and ensuring sufficient food production for all. Apparently, Monsanto has brought more evil than good. Genetic Engineering is a means to control organisms which has ended up in converting open pollinated seeds to hybrids, thereby turning renewable resources into non-renewable ones. From illegal open-field trials of Genetically Modified Organisms (GMO) as a deliberate act of releasing chemicals in the environment to genetic pollution due to cross pollination- Monsanto started a mysterious biological warfare against India. From a seed to an organism, the contamination spread across all the levels of the food chain posing grave risks to health. Monsanto’s monopoly in the production of GMOs in India has encouraged monoculture that has marginalised alternatives and restricted access to scientific research, shrinking biodiversity and sustainability. Erratic rains in the cotton belts of Maharashtra (Vidarbha region) have increased cultivation costs with signs of impending drought and diseases. For the last 15 years, Monsanto has been criminally negligent towards its ill-effects on environment and living beings. It has taken away the charm of agriculture- the largest livelihood provider in India by exclusively aiming to earn super profits in the form of royalties paid by local seed companies. Although the present government has imposed a cut of 70% in the royalties paid to the company for its cotton technology, but holding it accountable for its unfavourable implementation before it takes off is more needful. Text - Deepali Y. for #everydayindia Photo - @thevisualactivist",,everydayindia,ravimishraindia,290632022
1487098077508474090_435878249,2017-04-06 18:25:27,,1,60,Reyes,https://www.instagram.com/p/BSjO9KQDxTq/,Down by the river #Volta #Fulani #climatechange #dryseason #landscape #northernghana #everydayclimatechange,,"everydayclimatechange, climatechange, landscape, dryseason, fulani, northernghana, volta",ruthmcdowall,435878249
1490587704033889454_1551153805,2017-04-11 13:58:42,,9,160,Normal,https://www.instagram.com/p/BSvoZ6NgUyu/,26.000 meters. / 26.000 metros . Photo: CHRISTIAN ESCOBARMORA @ESCOBARMORA ● #everydaymacondo #everydaylatinamerica #everydayeverywhere #everydayclimatechange #micalidoscopio - #Cali #Colombia #latinamerica #mobilephotography - #igers #igerscolombia #igersamerica #igers_all_americas #ig_latinoamerica_ #one__shot__ #sky #heaven #cielo instagram #climatechange #climatechangeisreal #ESCOBARMORA,,"igerscolombia, sky, one__shot__, igersamerica, latinamerica, everydaymacondo, igers, cielo, escobarmora, heaven, everydaylatinamerica, everydayeverywhere, everydayclimatechange, igers_all_americas, climatechange, colombia, ig_latinoamerica_, climatechangeisreal, micalidoscopio, mobilephotography, cali",escobarmora,1551153805
1490514781302793282_43947917,2017-04-11 11:33:49,"0.57058745899513, 97.731890431633",15,1205,Normal,https://www.instagram.com/p/BSvX0voBaRC/,"When life is calling make sure you answer that call ➕ 'Tropical sunshine' Lagundri Bay, North Sumatra, Indonesia ➕ available as an art print 👇 'View' link in bio @tedgrambeau",,,tedgrambeau,43947917
1490496171276345803_264026826,2017-04-11 10:56:51,,0,89,Normal,https://www.instagram.com/p/BSvTl7sAaHL/,"""The Ganges river, considered sacred by more than 1 billion Indians, has become the first non-human entity in India to be granted the same legal rights as people. A court in the northern Indian state of Uttarakhand ordered on Monday that the Ganges and its main tributary, the Yamuna, be accorded the status of living human entities."" @guardian #documentary #everydayindia #india #ganges #water #climatechange #everydayclimatechange #river #asia",,"documentary, everydayclimatechange, everydayindia, climatechange, asia, river, water, ganges, india",giuliodisturco,264026826
1490474440067495331_2660400016,2017-04-11 10:13:40,,2,42,Normal,https://www.instagram.com/p/BSvOps7BbWj/,"Submitted by @jerenius: This is not a picture of a house with a beautiful view by the sea. It's a picture showing the devastating effects of rising sea levels and soil erosion in Monkey River Town, #Belize, one of the places worst affected by #climatechange. The situation is exacerbated by irrigation and farming methods upstream the river that used to bring sediment to the coast. This house used to have a yard in front if it where they could grow crops. This area is loosing more than 5 meters of the shore each year. Many families have been displaced. The school is nowadays just by the beach, and will soon be flooded unless moved to another location. #everydayclimatechange #climate #environment #photography #everyday #climateimpacts",,"everydayclimatechange, climatechange, climateimpacts, everyday, environment, belize, climate, photography",climatetracker,2660400016
1490441934497180641_246143996,2017-04-11 09:09:05,,9,220,Normal,https://www.instagram.com/p/BSvHQrwDOvh/,"Orang Rimba (forest people) or known as Suku Anak Dalam is one of the tribe groups living in the depth of forests in Jambi Province (Sumatra, Indonesia). They are nomadic life based and their lives depend on what is provided by forests. Since the 1970s, many of these peoples have been displaced from their traditional lands by logging companies and palm oil plantations, and for some time have been the target of government settlement projects. #forestproject #saveourforest #saverainforest #deforestation #orangrimba #sukuanakdalam #climatechange #everydayclimatechange",,"saveourforest, forestproject, saverainforest, sukuanakdalam, everydayclimatechange, climatechange, orangrimba, deforestation",uletifan,246143996
1490431127654902975_1561110271,2017-04-11 08:47:37,,1,988,Normal,https://www.instagram.com/p/BSvEzbGDiy_/,"The Tama and Sumida rivers empty into the bay at Tokyo. Photo by Paolo Patrizi @paolopatrizi for @everydayclimatechange Average temperatures in central Tokyo rose more than 5 degrees during the last century and are nearly 4 degrees higher than the national average. This increased temperatures in urban areas like Tokyo is called the heat island effect. Buildings, roads and other things found in abundance in the cities absorb heat during the day and release it at night, keeping the temperatures high. Part of this is caused because Tokyo doesn’t have many parks or trees. #climatechange #globalwarming #extremeweather #everydayclimatechange #climatechangeisreal #japan #tokyo #Asia",,"asia, tokyo, globalwarming, extremeweather, climatechangeisreal, everydayclimatechange, climatechange, japan",everydayclimatechange,1561110271
1490274180523183740_348550915,2017-04-11 03:35:48,,7,196,Normal,https://www.instagram.com/p/BSuhHisBU58/,"Encapuchados en Altamira intentan quemar instalaciones del Metro de Caracas. 10 de Abril, 2017. . . . . . . . . . . . . . . . . . . . . . . . . . #ig_venezuelan_pro #ig_caracas_ #instaven #ccs_entrecalles #streetphotovenezuela #street_people #streetphotographer #rmtf #photoreportage #fotografia #everydaylatinamerica #ig_latinoamerica_ #photojournalism #photojournalist #labellalibertad #hub_ve #caracas #ccs #venezuela #spicollective #marcha #oposicion #ciudad_ve #everydayclimatechange #friendsinperson #fotoperiodismo #10A #agenciazur #myspc17 #everydayeverywhere",,"streetphotovenezuela, instaven, photojournalism, photoreportage, everydayeverywhere, friendsinperson, marcha, everydayclimatechange, agenciazur, streetphotographer, caracas, ciudad_ve, fotoperiodismo, venezuela, ig_caracas_, myspc17, spicollective, hub_ve, ccs_entrecalles, labellalibertad, ig_latinoamerica_, ccs, photojournalist, street_people, oposicion, everydaylatinamerica, 10a, rmtf, fotografia, ig_venezuelan_pro",adrianactitud,348550915
1490271078835496132_348550915,2017-04-11 03:29:38,,1,224,Normal,https://www.instagram.com/p/BSugaaBByTE/,"Manifestantes se dirigen hacia Altamira y hacen barricada quemando basura. 10 de Abril, 2017. . . . . . . . . . . . . . . . . . . . . . . . . . #ig_venezuelan_pro #ig_caracas_ #instaven #ccs_entrecalles #streetphotovenezuela #street_people #streetphotographer #rmtf #photoreportage #fotografia #everydaylatinamerica #ig_latinoamerica_ #photojournalism #photojournalist #labellalibertad #hub_ve #caracas #ccs #venezuela #spicollective #marcha #oposicion #ciudad_ve #everydayclimatechange #friendsinperson #fotoperiodismo #10A #agenciazur #myspc17 #everydayeverywhere",,"streetphotovenezuela, instaven, photojournalism, photoreportage, everydayeverywhere, friendsinperson, marcha, everydayclimatechange, agenciazur, streetphotographer, caracas, ciudad_ve, fotoperiodismo, venezuela, ig_caracas_, myspc17, spicollective, hub_ve, ccs_entrecalles, labellalibertad, ig_latinoamerica_, ccs, photojournalist, street_people, oposicion, everydaylatinamerica, 10a, rmtf, fotografia, ig_venezuelan_pro",adrianactitud,348550915
